color,total_cats,adopted_cats,adoption_rate_pct
"Orange Tabby/Orange Tabby",5,2,40.00
Gray/Tortie,5,2,40.00
"Gray Tabby/White",228,90,39.47
Tortie/Black,36,14,38.89
Cream/White,50,19,38.00
White,649,237,36.52
White/Gray,178,64,35.96
"Black Tabby",279,99,35.48
Yellow/Orange,3,1,33.33
"Blue Cream/Tortie",3,1,33.33
"Lynx Point/Cream",3,1,33.33
Tan/White,3,1,33.33
"Orange Tabby/Brown",6,2,33.33
"Torbie/Blue Tabby",3,1,33.33
Calico/Tricolor,6,2,33.33
"Torbie/Brown Tabby",6,2,33.33
"Brown Tabby/Brown Tabby",6,2,33.33
"White/Lilac Point",3,1,33.33
"Brown Tabby/Orange Tabby",3,1,33.33
"Gray/Gray Tabby",3,1,33.33
White/Red,3,1,33.33
Cream/Orange,3,1,33.33
"White/Lynx Point",6,2,33.33
Calico/Black,19,6,31.58
Black/Brown,13,4,30.77
Brown/White,40,12,30.00
"Gray Tabby",482,136,28.22
Orange/White,224,63,28.13
Brown,48,13,27.08
Cream,111,30,27.03
Tricolor,4,1,25.00
White/Buff,4,1,25.00
"Cream/Seal Point",4,1,25.00
Orange,226,55,24.34
Black/Gray,17,4,23.53
"Brown Tabby/Black",99,23,23.23
"Gray Tabby/Black",31,7,22.58
Gray/White,166,33,19.88
Gray,197,33,16.75
Buff,30,5,16.67
"Blue Cream/White",6,1,16.67
Gray/Gray,13,2,15.38
Tan,7,1,14.29
Calico/Calico,7,1,14.29
Black/Orange,10,1,10.00
Gray/Black,18,1,5.56
"Seal Point/Brown",3,0,0.00
Tan/Brown,4,0,0.00
"Lilac Point/Cream",2,0,0.00
Gray/Orange,1,0,0.00
Brown/Gray,3,0,0.00
White/Tortie,2,0,0.00
Apricot/White,1,0,0.00
White/Yellow,2,0,0.00
Black/Chocolate,3,0,0.00
"Seal Point/Buff",1,0,0.00
Tricolor/Calico,1,0,0.00
Blue/Brown,1,0,0.00
Brown/Brown,1,0,0.00
Red,2,0,0.00
Gray/Brown,3,0,0.00
Fawn/White,1,0,0.00
"Cream Tiger",1,0,0.00
"Red/Orange Tabby",1,0,0.00
"Brown Tabby/Gray Tabby",2,0,0.00
"Cream/Brown Tabby",1,0,0.00
"Brown/Brown Tabby",3,0,0.00
Tricolor/White,2,0,0.00
"Black Tabby/Brown",3,0,0.00
Blue/Gray,2,0,0.00
"Black Tabby/Gray",3,0,0.00
Tortie/Tan,1,0,0.00
Torbie/Brown,5,0,0.00
"Tortie/Blue Merle",1,0,0.00
Black/Yellow,1,0,0.00
"Blue Tabby/Tortie",1,0,0.00
"Torbie/Silver Tabby",2,0,0.00
"Blue Tiger/Black",1,0,0.00
"Brown/Brown Brindle",1,0,0.00
"Brown Tiger/Black",1,0,0.00
"Black/Black Tabby",3,0,0.00
Torbie/Blue,1,0,0.00
"Black Tiger/White",2,0,0.00
Silver/Gray,1,0,0.00
"Brown Tabby/Tan",2,0,0.00
Black/Tortie,3,0,0.00
White/Apricot,1,0,0.00
"Blue Tabby/Brown Tabby",2,0,0.00
Green,1,0,0.00
"Calico/Gray Tabby",2,0,0.00
"Black/Gray Tabby",4,0,0.00
"Blue Tiger",1,0,0.00
Orange/Tricolor,1,0,0.00
"Silver/Gray Tabby",1,0,0.00
Brown/Orange,1,0,0.00
"Black Brindle",2,0,0.00
"Brown Merle/Brown Tabby",1,0,0.00
Brown/Buff,1,0,0.00
"Chocolate/Brown Tabby",3,0,0.00
"Black Smoke/Brown Tabby",1,0,0.00
"Lynx Point/Brown Tabby",1,0,0.00
Yellow,1,0,0.00
"Brown Brindle",2,0,0.00
Red/White,1,0,0.00
"Black Smoke/Black Tiger",1,0,0.00
"Yellow/Orange Tabby",2,0,0.00
"Seal Point/Gray",1,0,0.00
"Orange Tabby/Black",1,0,0.00
"Lynx Point/Gray Tabby",1,0,0.00
Black/Blue,2,0,0.00
Agouti/Cream,1,0,0.00
"Orange Tabby/Tortie Point",1,0,0.00
Black/Tricolor,1,0,0.00
"Cream Tabby/Orange",1,0,0.00
"Flame Point/Cream",3,0,0.00
"Black Tabby/Orange",1,0,0.00
Sable/White,1,0,0.00
Tortie/Calico,2,0,0.00
"Black Tabby/Black",1,0,0.00
"Orange Tabby/Apricot",1,0,0.00
"White/Chocolate Point",3,0,0.00
Torbie/Calico,1,0,0.00
Blue/Cream,2,0,0.00
"Brown Tabby/Black Tabby",1,0,0.00
"Calico Point/Lynx Point",1,0,0.00
Gray/Blue,1,0,0.00
"Blue Tabby/Buff",1,0,0.00
"Calico/Blue Tabby",2,0,0.00
"Gray Tabby/Brown Tabby",1,0,0.00
"Brown Tabby/Blue",1,0,0.00
"Blue Tabby/Orange",1,0,0.00
Tan/Black,1,0,0.00
Gray/Tan,1,0,0.00
"Tan/Cream Tabby",1,0,0.00
"Black Tabby/Gray Tabby",1,0,0.00
"Brown/Black Tabby",1,0,0.00
Pink,2,0,0.00
"Blue Cream/Buff",1,0,0.00
"Brown Tabby/Lynx Point",1,0,0.00
"Black/Silver Tabby",1,0,0.00
"Tortie Point/Cream",1,0,0.00
"Black/Seal Point",1,0,0.00
"Blue Point/Lynx Point",1,0,0.00
"Silver Lynx Point/Cream",2,0,0.00
"Gray Tabby/Gray",2,0,0.00
Yellow/Black,1,0,0.00
Cream/Black,1,0,0.00
Cream/Tan,1,0,0.00
Silver/White,1,0,0.00
Brown/Cream,1,0,0.00
Cream/Gray,2,0,0.00
"Calico Point/Gray",2,0,0.00
"Tan/Chocolate Point",1,0,0.00
Orange/Cream,1,0,0.00
